year,week,matchup_type,home_team,home_score,away_team,away_score,margin
2022,12,NONE,Griddy and  Ganja,162.98,Dallas AllWeGotIsMicah,95.36,67.62
2022,13,NONE,TuAnon .,124.0,WILSONS IN  YOUR MOM,64.44,59.56
2022,13,NONE,K-town Binshine,157.34,The Fantasy  Reaper,129.9,27.44
2022,13,NONE,Chiefs Kingdom,124.42,Free Lamar  Woe,95.96,28.46
2022,13,NONE,The Hennynator's ,120.8,The Shiva Whisperer,115.5,5.3
2022,13,NONE,Dallas AllWeGotIsMicah,100.24,Orlando GOONS,118.32,18.08
2022,13,NONE,KyleShanahanThe NflTerrorrist,148.52,Griddy and  Ganja,138.02,10.5
2022,14,NONE,Chiefs Kingdom,96.28,K-town Binshine,120.36,24.08
2022,14,NONE,Free Lamar  Woe,129.82,The Fantasy  Reaper,96.66,33.16
2022,14,NONE,WILSONS IN  YOUR MOM,87.16,Dallas AllWeGotIsMicah,83.14,4.02
2022,14,NONE,The Shiva Whisperer,102.78,Griddy and  Ganja,148.2,45.42
2022,14,NONE,The Hennynator's ,89.48,TuAnon .,129.0,39.52
2022,14,NONE,Orlando GOONS,146.18,KyleShanahanThe NflTerrorrist,108.46,37.72
2022,15,WINNERS_BRACKET,Orlando GOONS,112.76,,0,
2022,15,WINNERS_BRACKET,Free Lamar  Woe,94.88,Dallas AllWeGotIsMicah,111.74,16.86
2022,15,WINNERS_BRACKET,Chiefs Kingdom,126.84,WILSONS IN  YOUR MOM,145.18,18.34
2022,15,WINNERS_BRACKET,Griddy and  Ganja,140.0,,0,
2022,15,LOSERS_CONSOLATION_LADDER,KyleShanahanThe NflTerrorrist,104.82,The Hennynator's ,101.12,3.7
2022,15,LOSERS_CONSOLATION_LADDER,TuAnon .,165.86,K-town Binshine,114.8,51.06
2022,15,LOSERS_CONSOLATION_LADDER,The Shiva Whisperer,121.8,The Fantasy  Reaper,106.34,15.46
2022,16,WINNERS_BRACKET,Orlando GOONS,102.78,Dallas AllWeGotIsMicah,101.86,0.92
2022,16,WINNERS_BRACKET,Griddy and  Ganja,162.96,WILSONS IN  YOUR MOM,131.84,31.12
2022,16,WINNERS_CONSOLATION_LADDER,Chiefs Kingdom,147.06,Free Lamar  Woe,90.76,56.3
2022,16,LOSERS_CONSOLATION_LADDER,KyleShanahanThe NflTerrorrist,58.0,TuAnon .,134.6,76.6
2022,16,LOSERS_CONSOLATION_LADDER,The Hennynator's ,60.0,The Shiva Whisperer,92.0,32.0
2022,16,LOSERS_CONSOLATION_LADDER,K-town Binshine,90.1,The Fantasy  Reaper,101.88,11.78
2022,17,WINNERS_BRACKET,Orlando GOONS,121.6,Griddy and  Ganja,79.8,41.8
2022,17,WINNERS_CONSOLATION_LADDER,Dallas AllWeGotIsMicah,101.16,WILSONS IN  YOUR MOM,148.88,47.72
2022,17,WINNERS_CONSOLATION_LADDER,Chiefs Kingdom,103.32,Free Lamar  Woe,134.9,31.58
2022,17,LOSERS_CONSOLATION_LADDER,TuAnon .,92.8,The Shiva Whisperer,66.8,26.0
2022,17,LOSERS_CONSOLATION_LADDER,KyleShanahanThe NflTerrorrist,69.72,The Fantasy  Reaper,102.78,33.06
2022,17,LOSERS_CONSOLATION_LADDER,The Hennynator's ,62.18,K-town Binshine,78.6,16.42
2023,1,NONE,Me and Mahomies ,130.74,NoMorePieces💔,75.94,54.8
2023,1,NONE,The Indians ,89.0,Amon a Mission,123.94,34.94
2023,1,NONE,Orlando GOONS,81.04,Houston we have a problem ,133.54,52.5
2023,1,NONE,Out of business ,129.38,The Shiva Whisperer,101.42,27.96
2023,1,NONE,Bijan and The Riddlers,137.46,ParsonTheInterruption,102.26,35.2
2023,1,NONE,13 BLOCK ,72.06,Cooper City Penguins,113.66,41.6
2023,2,NONE,NoMorePieces💔,103.36,Amon a Mission,101.54,1.82
2023,2,NONE,Houston we have a problem ,134.16,Me and Mahomies ,125.3,8.86
2023,2,NONE,The Shiva Whisperer,104.2,The Indians ,107.12,2.92
2023,2,NONE,ParsonTheInterruption,135.7,Orlando GOONS,125.84,9.86
2023,2,NONE,Cooper City Penguins,133.98,Out of business ,130.88,3.1
2023,2,NONE,13 BLOCK ,137.74,Bijan and The Riddlers,127.7,10.04
2023,3,NONE,Houston we have a problem ,140.56,NoMorePieces💔,113.22,27.34
2023,3,NONE,Amon a Mission,120.26,The Shiva Whisperer,131.18,10.92
2023,3,NONE,Me and Mahomies ,121.78,ParsonTheInterruption,138.5,16.72
2023,3,NONE,The Indians ,123.08,Cooper City Penguins,118.78,4.3
2023,3,NONE,Orlando GOONS,116.46,13 BLOCK ,180.02,63.56
2023,3,NONE,Out of business ,124.7,Bijan and The Riddlers,103.12,21.58
2023,4,NONE,NoMorePieces💔,146.1,The Shiva Whisperer,77.56,68.54
2023,4,NONE,ParsonTheInterruption,128.58,Houston we have a problem ,137.48,8.9
2023,4,NONE,Cooper City Penguins,122.44,Amon a Mission,133.16,10.72
2023,4,NONE,13 BLOCK ,105.12,Me and Mahomies ,113.52,8.4
2023,4,NONE,Bijan and The Riddlers,123.7,The Indians ,94.16,29.54
2023,4,NONE,Out of business ,112.0,Orlando GOONS,116.72,4.72
2023,5,NONE,ParsonTheInterruption,136.74,NoMorePieces💔,178.06,41.32
2023,5,NONE,The Shiva Whisperer,112.46,Cooper City Penguins,183.04,70.58
2023,5,NONE,Houston we have a problem ,115.52,13 BLOCK ,105.68,9.84
2023,5,NONE,Amon a Mission,119.8,Bijan and The Riddlers,105.14,14.66
2023,5,NONE,Me and Mahomies ,109.24,Out of business ,99.52,9.72
2023,5,NONE,The Indians ,131.42,Orlando GOONS,141.88,10.46
2023,6,NONE,NoMorePieces💔,114.06,Cooper City Penguins,163.22,49.16
2023,6,NONE,13 BLOCK ,92.44,ParsonTheInterruption,126.78,34.34
2023,6,NONE,Bijan and The Riddlers,110.12,The Shiva Whisperer,101.94,8.18
2023,6,NONE,Out of business ,115.3,Houston we have a problem ,124.68,9.38
2023,6,NONE,Orlando GOONS,87.52,Amon a Mission,125.84,38.32
2023,6,NONE,The Indians ,98.2,Me and Mahomies ,97.24,0.96
2023,7,NONE,13 BLOCK ,101.54,NoMorePieces💔,134.1,32.56
2023,7,NONE,Cooper City Penguins,118.78,Bijan and The Riddlers,75.26,43.52
2023,7,NONE,ParsonTheInterruption,144.56,Out of business ,75.46,69.1
2023,7,NONE,The Shiva Whisperer,151.52,Orlando GOONS,130.56,20.96
2023,7,NONE,Houston we have a problem ,125.44,The Indians ,136.66,11.22
2023,7,NONE,Amon a Mission,111.8,Me and Mahomies ,119.36,7.56
2023,8,NONE,NoMorePieces💔,152.66,Bijan and The Riddlers,118.18,34.48
2023,8,NONE,Out of business ,143.82,13 BLOCK ,100.18,43.64
2023,8,NONE,Orlando GOONS,120.16,Cooper City Penguins,135.38,15.22
2023,8,NONE,The Indians ,125.86,ParsonTheInterruption,107.02,18.84
2023,8,NONE,Me and Mahomies ,102.6,The Shiva Whisperer,148.56,45.96
2023,8,NONE,Amon a Mission,132.48,Houston we have a problem ,154.46,21.98
2023,9,NONE,Out of business ,111.62,NoMorePieces💔,132.62,21.0
2023,9,NONE,Bijan and The Riddlers,119.94,Orlando GOONS,143.8,23.86
2023,9,NONE,13 BLOCK ,97.4,The Indians ,69.48,27.92
2023,9,NONE,Cooper City Penguins,106.4,Me and Mahomies ,69.1,37.3
2023,9,NONE,ParsonTheInterruption,99.94,Amon a Mission,141.32,41.38
2023,9,NONE,The Shiva Whisperer,164.96,Houston we have a problem ,81.02,83.94
2023,10,NONE,NoMorePieces💔,117.88,Orlando GOONS,135.82,17.94
2023,10,NONE,The Indians ,120.32,Out of business ,124.48,4.16
2023,10,NONE,Me and Mahomies ,105.7,Bijan and The Riddlers,168.12,62.42
2023,10,NONE,Amon a Mission,81.5,13 BLOCK ,132.86,51.36
2023,10,NONE,Houston we have a problem ,155.74,Cooper City Penguins,76.42,79.32
2023,10,NONE,The Shiva Whisperer,124.96,ParsonTheInterruption,123.02,1.94
2023,11,NONE,The Indians ,108.5,NoMorePieces💔,101.54,6.96
2023,11,NONE,Orlando GOONS,116.16,Me and Mahomies ,124.58,8.42
2023,11,NONE,Out of business ,96.24,Amon a Mission,128.18,31.94
