year,week,matchup_type,home_team,home_score,away_team,away_score,margin
2025,2,NONE,Trash can ,91.24,Cooper City  Chickens,112.8,21.56
2025,2,NONE,Don’t Go Chase-ing Waterfalls,156.7,The Shiva Whisperer,188.68,31.98
2025,3,NONE,The Huncho Pirates,116.66,Orlando GOONS,149.66,33.0
2025,3,NONE,News 13,107.42,Franklin's Football Turtles,152.14,44.72
2025,3,NONE,Griddy Galaxy Gurus,137.82,Fantasy Hunters 🥷🏽,131.76,6.06
2025,3,NONE,Trash can ,118.32,Bijan the Mustard King ,131.82,13.5
2025,3,NONE,RUMBLING,143.16,Don’t Go Chase-ing Waterfalls,86.92,56.24
2025,3,NONE,Cooper City  Chickens,143.52,The Shiva Whisperer,135.8,7.72
2025,4,NONE,Orlando GOONS,137.04,Franklin's Football Turtles,156.6,19.56
2025,4,NONE,Fantasy Hunters 🥷🏽,105.1,The Huncho Pirates,101.86,3.24
2025,4,NONE,Griddy Galaxy Gurus,227.22,News 13,102.16,125.06
2025,4,NONE,Bijan the Mustard King ,147.18,Don’t Go Chase-ing Waterfalls,150.46,3.28
2025,4,NONE,The Shiva Whisperer,123.22,Trash can ,137.54,14.32
2025,4,NONE,Cooper City  Chickens,95.38,RUMBLING,118.3,22.92
2025,5,NONE,Fantasy Hunters 🥷🏽,104.1,Orlando GOONS,137.22,33.12
2025,5,NONE,Franklin's Football Turtles,142.7,Griddy Galaxy Gurus,129.32,13.38
2025,5,NONE,The Huncho Pirates,126.68,News 13,119.42,7.26
2025,5,NONE,The Shiva Whisperer,111.34,Bijan the Mustard King ,100.1,11.24
2025,5,NONE,Don’t Go Chase-ing Waterfalls,194.76,Cooper City  Chickens,141.26,53.5
2025,5,NONE,Trash can ,111.28,RUMBLING,174.52,63.24
2025,6,NONE,Orlando GOONS,122.74,Bijan the Mustard King ,152.08,29.34
2025,6,NONE,Griddy Galaxy Gurus,123.24,Cooper City  Chickens,84.3,38.94
2025,6,NONE,News 13,66.84,RUMBLING,165.88,99.04
2025,6,NONE,The Huncho Pirates,146.2,Trash can ,96.64,49.56
2025,6,NONE,Franklin's Football Turtles,167.62,Don’t Go Chase-ing Waterfalls,142.24,25.38
2025,6,NONE,Fantasy Hunters 🥷🏽,126.6,The Shiva Whisperer,104.16,22.44
2025,7,NONE,Bijan the Mustard King ,125.02,Griddy Galaxy Gurus,124.58,0.44
2025,7,NONE,Cooper City  Chickens,124.76,News 13,107.52,17.24
2025,7,NONE,RUMBLING,138.74,The Huncho Pirates,86.98,51.76
2025,7,NONE,Trash can ,106.14,Franklin's Football Turtles,184.94,78.8
2025,7,NONE,Don’t Go Chase-ing Waterfalls,162.72,Fantasy Hunters 🥷🏽,104.54,58.18
2025,7,NONE,The Shiva Whisperer,161.8,Orlando GOONS,192.86,31.06
2025,8,NONE,News 13,116.32,Bijan the Mustard King ,138.18,21.86
2025,8,NONE,The Huncho Pirates,110.32,Cooper City  Chickens,98.48,11.84
2025,8,NONE,Franklin's Football Turtles,112.66,RUMBLING,143.66,31.0
2025,8,NONE,Fantasy Hunters 🥷🏽,150.42,Trash can ,127.32,23.1
2025,8,NONE,Orlando GOONS,141.82,Don’t Go Chase-ing Waterfalls,93.78,48.04
2025,8,NONE,Griddy Galaxy Gurus,151.24,The Shiva Whisperer,111.38,39.86
2025,9,NONE,Bijan the Mustard King ,124.78,The Huncho Pirates,141.2,16.42
2025,9,NONE,Cooper City  Chickens,104.76,Franklin's Football Turtles,188.62,83.86
2025,9,NONE,RUMBLING,104.1,Fantasy Hunters 🥷🏽,133.92,29.82
2025,9,NONE,Trash can ,66.92,Orlando GOONS,121.2,54.28
2025,9,NONE,Don’t Go Chase-ing Waterfalls,163.2,Griddy Galaxy Gurus,121.96,41.24
2025,9,NONE,The Shiva Whisperer,156.6,News 13,120.74,35.86
2025,10,NONE,Franklin's Football Turtles,150.02,Bijan the Mustard King ,105.8,44.22
2025,10,NONE,Fantasy Hunters 🥷🏽,157.64,Cooper City  Chickens,82.94,74.7
2025,10,NONE,Orlando GOONS,146.62,RUMBLING,127.92,18.7
2025,10,NONE,Griddy Galaxy Gurus,137.1,Trash can ,95.8,41.3
2025,10,NONE,News 13,151.88,Don’t Go Chase-ing Waterfalls,109.52,42.36
2025,10,NONE,The Huncho Pirates,147.76,The Shiva Whisperer,140.4,7.36
2025,11,NONE,Bijan the Mustard King ,133.34,Fantasy Hunters 🥷🏽,191.88,58.54
2025,11,NONE,Cooper City  Chickens,104.22,Orlando GOONS,146.02,41.8
2025,11,NONE,RUMBLING,112.44,Griddy Galaxy Gurus,112.84,0.4
2025,11,NONE,Trash can ,133.9,News 13,95.9,38.0
2025,11,NONE,Don’t Go Chase-ing Waterfalls,83.02,The Huncho Pirates,134.0,50.98
2025,11,NONE,The Shiva Whisperer,118.74,Franklin's Football Turtles,115.4,3.34
2025,12,NONE,Bijan the Mustard King ,104.04,Orlando GOONS,224.16,120.12
2025,12,NONE,Cooper City  Chickens,118.82,Griddy Galaxy Gurus,152.06,33.24
2025,12,NONE,RUMBLING,158.08,News 13,137.32,20.76
2025,12,NONE,Trash can ,85.42,The Huncho Pirates,97.92,12.5
2025,12,NONE,Don’t Go Chase-ing Waterfalls,93.84,Franklin's Football Turtles,160.76,66.92
2025,12,NONE,The Shiva Whisperer,134.26,Fantasy Hunters 🥷🏽,121.62,12.64
2025,13,NONE,Griddy Galaxy Gurus,114.58,Bijan the Mustard King ,118.16,3.58
2025,13,NONE,News 13,100.56,Cooper City  Chickens,74.74,25.82
2025,13,NONE,The Huncho Pirates,116.44,RUMBLING,118.64,2.2
2025,13,NONE,Franklin's Football Turtles,118.9,Trash can ,109.64,9.26
2025,13,NONE,Fantasy Hunters 🥷🏽,149.52,Don’t Go Chase-ing Waterfalls,148.32,1.2
2025,13,NONE,Orlando GOONS,134.5,The Shiva Whisperer,99.94,34.56
2025,14,NONE,Bijan the Mustard King ,102.6,News 13,172.24,69.64
2025,14,NONE,Cooper City  Chickens,96.36,The Huncho Pirates,169.56,73.2
2025,14,NONE,RUMBLING,143.9,Franklin's Football Turtles,82.3,61.6
2025,14,NONE,Trash can ,89.58,Fantasy Hunters 🥷🏽,175.34,85.76
2025,14,NONE,Don’t Go Chase-ing Waterfalls,107.76,Orlando GOONS,181.54,73.78
2025,14,NONE,The Shiva Whisperer,98.06,Griddy Galaxy Gurus,86.46,11.6
2025,15,WINNERS_BRACKET,Orlando GOONS,86.56,,0,
2025,15,WINNERS_BRACKET,The Huncho Pirates,141.8,Fantasy Hunters 🥷🏽,210.32,68.52
2025,15,WINNERS_BRACKET,RUMBLING,127.76,Griddy Galaxy Gurus,95.8,31.96
2025,15,WINNERS_BRACKET,Franklin's Football Turtles,118.1,,0,
2025,15,LOSERS_CONSOLATION_LADDER,The Shiva Whisperer,168.2,Bijan the Mustard King ,161.4,6.8
2025,15,LOSERS_CONSOLATION_LADDER,Don’t Go Chase-ing Waterfalls,114.84,News 13,149.34,34.5
2025,15,LOSERS_CONSOLATION_LADDER,Cooper City  Chickens,106.4,Trash can ,126.78,20.38
2025,16,WINNERS_BRACKET,Orlando GOONS,139.46,Fantasy Hunters 🥷🏽,156.5,17.04
2025,16,WINNERS_BRACKET,Franklin's Football Turtles,156.4,RUMBLING,108.22,48.18
2025,16,WINNERS_CONSOLATION_LADDER,The Huncho Pirates,171.36,Griddy Galaxy Gurus,166.7,4.66
2025,16,LOSERS_CONSOLATION_LADDER,The Shiva Whisperer,138.7,News 13,105.82,32.88
2025,16,LOSERS_CONSOLATION_LADDER,Bijan the Mustard King ,105.46,Trash can ,110.58,5.12
2025,16,LOSERS_CONSOLATION_LADDER,Don’t Go Chase-ing Waterfalls,123.8,Cooper City  Chickens,130.14,6.34
2025,17,WINNERS_BRACKET,Franklin's Football Turtles,135.1,Fantasy Hunters 🥷🏽,127.98,7.12
2025,17,WINNERS_CONSOLATION_LADDER,Orlando GOONS,100.48,RUMBLING,111.56,11.08
2025,17,WINNERS_CONSOLATION_LADDER,The Huncho Pirates,106.0,Griddy Galaxy Gurus,147.44,41.44
2025,17,LOSERS_CONSOLATION_LADDER,The Shiva Whisperer,103.74,Trash can ,139.78,36.04
2025,17,LOSERS_CONSOLATION_LADDER,News 13,126.58,Cooper City  Chickens,121.08,5.5
2025,17,LOSERS_CONSOLATION_LADDER,Bijan the Mustard King ,117.62,Don’t Go Chase-ing Waterfalls,77.48,40.14
